subject_id	error_codes_ext_n	error_codes_n	error_n	warning_codes_ext_n	warning_codes_n	warning_n
root	0	1	18	1	1	3
sub-001	1	1	5	1	1	290
sub-002	1	1	8	1	1	271
sub-003	1	1	1	1	1	145
sub-004	1	1	6	1	1	145
sub-005	1	1	5	1	1	290
sub-006	1	1	9	1	1	290
sub-007	1	1	7	1	1	290
sub-008	1	1	2	1	1	290
sub-009	1	1	6	1	1	290
sub-010	1	1	4	1	1	290
sub-011	1	1	1	1	1	290
sub-012	1	1	6	1	1	290
sub-013	1	1	5	1	1	290
sub-014	1	1	8	1	1	290
sub-015	1	1	6	1	1	145
sub-016	1	1	7	1	1	290
sub-017	1	1	3	1	1	145
sub-018	1	1	7	1	1	290
sub-019	1	1	4	1	1	145
sub-020	1	1	3	1	1	290
sub-021	1	1	3	1	1	145
sub-022	1	1	6	1	1	290
sub-023	1	1	1	1	1	290
sub-024	1	1	13	1	1	290
sub-025	0	0	0	1	1	145
sub-026	1	1	5	1	1	145
sub-027	1	1	2	1	1	290
sub-028	1	1	1	1	1	145
sub-029	1	1	11	1	1	290
sub-030	0	0	0	1	1	145
sub-031	1	1	3	1	1	145
sub-032	1	1	4	1	1	145
sub-033	0	0	0	1	1	145
sub-034	1	1	7	1	1	290
sub-035	1	1	2	1	1	290
sub-036	1	1	3	1	1	290
sub-037	1	1	4	1	1	145
sub-038	1	1	4	1	1	145
sub-039	1	1	5	1	1	145
sub-040	1	1	7	1	1	290
sub-041	1	1	2	1	1	145
sub-042	1	1	1	1	1	145
sub-043	1	1	6	1	1	145
sub-044	0	0	0	1	1	290
sub-045	1	1	7	1	1	290
sub-046	1	1	5	1	1	290
sub-047	1	1	6	1	1	290
sub-048	1	1	5	1	1	290
sub-049	1	1	6	1	1	290
sub-050	1	1	4	1	1	290
sub-051	1	1	2	1	1	145
sub-052	1	1	6	1	1	145
sub-053	1	1	3	1	1	290
sub-054	1	1	5	1	1	271
sub-055	1	1	7	1	1	290
sub-056	1	1	9	1	1	290
sub-057	1	1	3	1	1	290
sub-058	1	1	2	1	1	145
sub-059	1	1	5	1	1	290
sub-060	1	1	3	1	1	290
sub-061	1	1	6	1	1	290
sub-062	1	1	2	1	1	145
sub-063	1	1	2	1	1	145
sub-064	0	0	0	1	1	145
sub-065	1	1	8	1	1	290
sub-066	1	1	7	1	1	290
sub-067	1	1	7	1	1	290
sub-068	1	1	2	1	1	145
sub-069	1	1	5	1	1	290
sub-070	1	1	5	1	1	290
sub-071	1	1	7	1	1	290
sub-072	1	1	7	1	1	145
sub-073	1	1	8	1	1	272
sub-074	1	1	12	1	1	290
sub-075	1	1	2	1	1	290
sub-076	1	1	12	1	1	290
sub-077	1	1	5	1	1	290
sub-078	1	1	10	1	1	290
sub-079	1	1	2	1	1	145
sub-080	1	1	7	1	1	145
sub-081	1	1	3	1	1	145
sub-082	1	1	5	1	1	145
sub-083	1	1	3	1	1	290
sub-084	1	1	9	1	1	290
sub-085	1	1	7	1	1	145
sub-086	1	1	7	1	1	290
sub-087	1	1	2	1	1	145
sub-088	1	1	6	1	1	290
sub-089	1	1	4	1	1	290
sub-090	1	1	3	1	1	290
sub-091	1	1	2	1	1	145
sub-092	1	1	3	1	1	145
sub-093	1	1	6	1	1	290
sub-094	1	1	5	1	1	145
sub-095	1	1	6	1	1	290
sub-096	1	1	7	1	1	290
sub-097	1	1	3	1	1	145
sub-098	1	1	5	1	1	145
sub-099	1	1	5	1	1	290
sub-100	1	1	4	1	1	145
sub-101	0	0	0	1	1	145
sub-102	1	1	6	1	1	145
sub-103	1	1	9	1	1	290
sub-104	1	1	3	1	1	145
sub-105	1	1	4	1	1	145
sub-106	1	1	3	1	1	290
sub-107	0	0	0	1	1	107
sub-108	1	1	5	1	1	145
sub-109	1	1	2	1	1	145
sub-110	1	1	6	1	1	145
sub-111	1	1	2	1	1	145
sub-112	1	1	2	1	1	145
sub-113	1	1	4	1	1	145
sub-114	0	0	0	1	1	145
sub-115	1	1	5	1	1	145
sub-116	1	1	2	1	1	145
sub-117	1	1	3	1	1	145
sub-118	1	1	4	1	1	145
sub-119	1	1	6	1	1	145
sub-120	1	1	4	1	1	145
sub-121	1	1	6	1	1	145
sub-122	1	1	2	1	1	145
sub-123	1	1	1	1	1	145
sub-124	1	1	3	1	1	145
sub-125	1	1	7	1	1	145
sub-126	1	1	1	1	1	145
sub-127	0	0	0	1	1	145
sub-128	1	1	4	1	1	145
sub-129	1	1	3	1	1	145
sub-130	1	1	7	1	1	145
sub-131	1	1	4	1	1	145
sub-132	1	1	2	1	1	145
