subject_id	warning_codes_ext_n	warning_codes_n	warning_n
root	1	1	16
sub-01	1	1	144
sub-02	1	1	144
sub-03	1	1	144
sub-04	1	1	144
sub-05	1	1	144
sub-06	1	1	144
sub-07	1	1	144
sub-08	1	1	144
sub-09	1	1	144
sub-10	1	1	144
sub-11	1	1	144
sub-12	1	1	144
sub-13	1	1	144
sub-14	1	1	144
sub-15	1	1	144
sub-16	1	1	144
sub-17	1	1	144
sub-18	1	1	144
sub-19	1	1	144
sub-20	1	1	144
sub-21	1	1	144
sub-22	1	1	144
sub-23	1	1	144
sub-24	1	1	144
sub-25	1	1	144
sub-26	1	1	144
sub-27	1	1	144
sub-28	1	1	144
sub-29	1	1	144
sub-30	1	1	144
sub-31	1	1	144
sub-32	1	1	144
sub-33	1	1	144
sub-34	1	1	144
sub-35	1	1	144
sub-36	1	1	144
sub-37	1	1	144
sub-38	1	1	144
sub-39	1	1	144
sub-40	1	1	144
sub-41	1	1	144
sub-42	1	1	144
sub-43	1	1	144
sub-44	1	1	144
sub-45	1	1	144
sub-46	1	1	144
sub-47	1	1	144
sub-48	1	1	144
sub-49	1	1	144
