subject_id	warning_codes_ext_n	warning_codes_n	warning_n
root	1	1	3
sub-01	1	1	50
sub-02	1	1	50
sub-03	1	1	50
sub-04	1	1	50
sub-05	1	1	50
sub-06	1	1	50
sub-07	1	1	50
sub-08	1	1	50
sub-09	1	1	50
sub-10	1	1	50
sub-11	1	1	50
sub-12	1	1	50
sub-13	1	1	50
sub-14	1	1	50
sub-15	1	1	50
sub-16	1	1	50
sub-17	1	1	50
sub-18	1	1	50
sub-19	1	1	50
sub-20	1	1	50
sub-21	1	1	50
sub-22	1	1	50
sub-23	1	1	50
sub-24	1	1	50
sub-25	1	1	50
sub-26	1	1	50
sub-27	1	1	50
sub-28	1	1	50
sub-29	1	1	50
sub-30	1	1	50
sub-31	1	1	50
sub-32	1	1	50
sub-33	1	1	50
sub-34	1	1	50
sub-35	1	1	50
sub-36	1	1	50
sub-37	1	1	50
sub-38	1	1	50
sub-39	1	1	50
sub-40	1	1	50
sub-41	1	1	50
sub-42	1	1	50
sub-43	1	1	50
sub-44	1	1	50
sub-45	1	1	50
sub-46	1	1	50
sub-47	1	1	50
sub-48	1	1	50
sub-49	1	1	50
sub-50	1	1	50
sub-51	1	1	50
sub-52	1	1	50
sub-53	1	1	50
sub-54	1	1	50
sub-55	1	1	50
sub-56	1	1	50
sub-57	1	1	50
sub-58	1	1	50
sub-59	1	1	50
sub-60	1	1	50
sub-61	1	1	50
sub-62	1	1	50
sub-63	1	1	50
sub-64	1	1	50
sub-65	1	1	50
sub-66	1	1	50
sub-67	1	1	50
sub-68	1	1	50
sub-69	1	1	50
sub-70	1	1	50
sub-71	1	1	50
sub-72	1	1	50
